level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2339	-1	
2	1	1	0	0	0	960	123	451	50	-1	
3	1	1	1	0	0	960	123	451	50	-1	
4	1	1	1	1	0	960	123	216	17	-1	
5	1	1	1	1	1	960	123	102	17	96	Customer
5	1	1	1	1	2	1070	123	106	17	96	Reference
4	1	1	1	2	0	960	156	451	17	-1	
5	1	1	1	2	1	960	156	59	17	96	Order
5	1	1	1	2	2	1027	156	20	17	96	ID
5	1	1	1	2	3	1240	157	171	16	92	20201202004379
2	1	2	0	0	0	83	51	1432	108	-1	
3	1	2	1	0	0	83	51	1432	108	-1	
4	1	2	1	1	0	83	51	1432	48	-1	
5	1	2	1	1	1	83	58	13	22	37	a
5	1	2	1	1	2	152	65	84	34	96	LAND
5	1	2	1	1	3	961	51	81	33	96	Product
5	1	2	1	1	4	1240	56	40	17	95	Title
5	1	2	1	1	5	1288	56	35	17	96	and
5	1	2	1	1	6	1332	56	90	17	96	Valuation
5	1	2	1	1	7	1431	56	84	22	96	Package
4	1	2	1	2	0	951	86	493	31	-1	
5	1	2	1	2	1	951	86	114	31	96	Date/Time
5	1	2	1	2	2	1240	90	109	17	96	02/12/2020
5	1	2	1	2	3	1359	90	85	16	92	11:42AM
4	1	2	1	3	0	151	101	150	26	-1	
5	1	2	1	3	1	151	101	150	26	96	SERVICES
4	1	2	1	4	0	151	133	43	26	-1	
5	1	2	1	4	1	151	133	43	26	96	SA
2	1	3	0	0	0	61	190	1530	5	-1	
3	1	3	1	0	0	61	190	1530	5	-1	
4	1	3	1	1	0	61	190	1530	5	-1	
5	1	3	1	1	1	61	190	1530	5	95	 
2	1	4	0	0	0	79	231	372	35	-1	
3	1	4	1	0	0	79	231	372	35	-1	
4	1	4	1	1	0	79	231	372	35	-1	
5	1	4	1	1	1	79	231	214	35	96	Certificate
5	1	4	1	1	2	308	232	40	34	96	of
5	1	4	1	1	3	362	232	89	34	96	Title
2	1	5	0	0	0	67	299	893	433	-1	
3	1	5	1	0	0	77	299	465	22	-1	
4	1	5	1	1	0	77	299	465	22	-1	
5	1	5	1	1	1	77	300	56	21	96	Title
5	1	5	1	1	2	144	300	131	21	96	Reference
5	1	5	1	1	3	384	299	35	22	92	CT
5	1	5	1	1	4	428	300	114	21	88	6163/782
3	1	5	2	0	0	67	349	451	38	-1	
4	1	5	2	1	0	67	349	451	38	-1	
5	1	5	2	1	1	67	349	93	38	96	Status
5	1	5	2	1	2	384	355	134	21	96	CURRENT
3	1	5	3	0	0	79	407	358	35	-1	
4	1	5	3	1	0	79	407	358	35	-1	
5	1	5	3	1	1	79	407	128	35	96	Easement
5	1	5	3	1	2	383	410	54	22	96	YES
3	1	5	4	0	0	78	466	427	21	-1	
4	1	5	4	1	0	78	466	427	21	-1	
5	1	5	4	1	1	78	466	85	21	96	Owner
