level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1653	2339	-1	
2	1	1	0	0	0	68	58	233	107	-1	
3	1	1	1	0	0	68	58	233	107	-1	
4	1	1	1	1	0	68	58	169	107	-1	
5	1	1	1	1	1	68	58	71	107	71	%
5	1	1	1	1	2	152	69	85	26	96	LAND
4	1	1	1	2	0	151	101	150	26	-1	
5	1	1	1	2	1	151	101	150	26	96	SERVICES
4	1	1	1	3	0	151	133	43	25	-1	
5	1	1	1	3	1	151	133	43	25	96	SA
2	1	2	0	0	0	952	52	563	121	-1	
3	1	2	1	0	0	952	52	563	88	-1	
4	1	2	1	1	0	952	52	563	30	-1	
5	1	2	1	1	1	952	52	90	30	96	Product
5	1	2	1	1	2	1240	56	40	17	96	Title
5	1	2	1	1	3	1288	56	35	17	97	and
5	1	2	1	1	4	1332	56	90	17	96	Valuation
5	1	2	1	1	5	1431	56	84	22	96	Package
4	1	2	1	2	0	952	86	492	30	-1	
5	1	2	1	2	1	952	86	113	30	96	Date/Time
5	1	2	1	2	2	1240	90	109	17	96	02/12/2020
5	1	2	1	2	3	1359	90	85	16	95	11:42AM
4	1	2	1	3	0	960	123	216	17	-1	
5	1	2	1	3	1	960	123	102	17	96	Customer
5	1	2	1	3	2	1070	123	106	17	96	Reference
3	1	2	2	0	0	960	156	451	17	-1	
4	1	2	2	1	0	960	156	451	17	-1	
5	1	2	2	1	1	960	156	59	17	95	Order
5	1	2	2	1	2	1027	156	20	17	96	ID
5	1	2	2	1	3	1240	157	171	16	92	20201202004379
2	1	3	0	0	0	61	187	1530	11	-1	
3	1	3	1	0	0	61	187	1530	11	-1	
4	1	3	1	1	0	61	187	1530	11	-1	
5	1	3	1	1	1	61	187	1530	11	95	 
2	1	4	0	0	0	79	227	40	21	-1	
3	1	4	1	0	0	79	227	40	21	-1	
4	1	4	1	1	0	79	227	40	21	-1	
5	1	4	1	1	1	79	227	40	21	96	NIL
2	1	5	0	0	0	79	285	279	25	-1	
3	1	5	1	0	0	79	285	279	25	-1	
4	1	5	1	1	0	79	285	279	25	-1	
5	1	5	1	1	1	79	285	150	25	94	Notations
5	1	5	1	1	2	241	291	37	19	94	on
5	1	5	1	1	3	292	285	66	25	96	Plan
2	1	6	0	0	0	93	358	202	27	-1	
3	1	6	1	0	0	93	358	202	27	-1	
4	1	6	1	1	0	93	358	202	27	-1	
5	1	6	1	1	1	93	358	137	27	92	Lodgement
5	1	6	1	1	2	239	358	56	22	96	Date
2	1	7	0	0	0	831	353	462	37	-1	
3	1	7	1	0	0	831	353	462	37	-1	
4	1	7	1	1	0	831	353	462	37	-1	
5	1	7	1	1	1	831	353	161	37	96	Descriptions
5	1	7	1	1	2	1216	357	77	23	96	Status
2	1	8	0	0	0	467	358	199	27	-1	
3	1	8	1	0	0	467	358	199	27	-1	
4	1	8	1	1	0	467	358	199	27	-1	
5	1	8	1	1	1	469	354	39	36	24	Pree
5	1	8	1	1	2	511	358	47	27	12	ile
5	1	8	1	1	3	569	358	97	22	22	Nese
2	1	9	0	0	0	72	332	1509	65	-1	
3	1	9	1	0	0	72	332	1509	65	-1	
4	1	9	1	1	0	72	332	1509	65	-1	
5	1	9	1	1	1	72	332	1509	65	95	 
2	1	10	0	0	0	76	443	1501	10	-1	
3	1	10	1	0	0	76	443	1501	10	-1	
4	1	10	1	1	0	76	443	1501	10	-1	
5	1	10	1	1	1	76	443	1501	10	95	 
2	1	11	0	0	0	77	410	1215	844	-1	
3	1	11	1	0	0	77	410	1215	844	-1	
4	1	11	1	1	0	92	410	1200	34	-1	
5	1	11	1	1	1	92	414	137	21	96	25/02/2014
5	1	11	1	1	2	240	414	66	21	96	12:30
5	1	11	1	1	3	468	410	115	34	96	12089211
5	1	11	1	1	4	843	413	121	22	96	BY-LAWS
5	1	11	1	1	5	1217	414	75	20	96	FILED
4	1	11	1	2	0	80	484	406	32	-1	
5	1	11	1	2	1	80	484	304	32	82	Registrar-General's
5	1	11	1	2	2	396	485	90	25	96	Notes
4	1	11	1	3	0	79	544	40	21	-1	
5	1	11	1	3	1	79	544	40	21	96	NIL
4	1	11	1	4	0	78	601	377	25	-1	
5	1	11	1	4	1	78	601	230	25	94	Administrative
5	1	11	1	4	2	319	601	136	25	96	Interests
4	1	11	1	5	0	79	661	40	20	-1	
5	1	11	1	5	1	79	661	40	20	96	NIL
